"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Jungle",3,"16.7%","11.1%","27.8%","33%","67%",7,13,21,2.2,"59.6%","22.4%","67%",444,369,14,7.9,"25.4%",521,"17.8%","21.7%",0.37,0.33
"Ahri","Middle",1,"5.6%","5.6%","11.1%","0%","0%",5,1,5,10,"71.4%","5.0%","0%",38,557,1,8,"21.0%",629,"30.1%","21.0%",0.56,0.26
"Akali","ADC",1,"5.6%","44.4%","66.7%","100%","100%",10,0,7,17,"45.9%","0.0%","0%",-1374,115,-12,8.9,"26.4%",841,"20.9%","25.1%",0.28,0.23
"Akali","Middle",3,"16.7%","44.4%","66.7%","67%","100%",17,13,9,2,"60.5%","28.9%","33%",-360,7,-8.7,8.1,"21.8%",593,"22.0%","21.3%",0.29,0.19
"Alistar","Support",4,"22.2%","5.6%","27.8%","75%","100%",1,16,60,3.8,"71.8%","29.1%","25%",-248,-66,-0.5,0.9,"2.2%",190,"5.7%","9.8%",1.95,0.44
"Ambessa","Top",4,"22.2%","0.0%","22.2%","50%","25%",11,11,14,2.3,"59.5%","17.5%","0%",-52,-153,-4.3,8.8,"25.9%",692,"24.7%","22.3%",0.35,0.2
"Anivia","Middle",2,"11.1%","22.2%","33.3%","0%","100%",5,9,2,0.8,"70.0%","20.5%","0%",-840,-255,-10,8.5,"23.7%",569,"22.7%","23.9%",0.48,0.19
"Bard","Support",2,"11.1%","11.1%","22.2%","100%","0%",1,2,29,15,"83.3%","18.2%","100%",267,-138,-3,0.9,"2.2%",241,"7.0%","9.9%",2,0.47
"Caitlyn","ADC",2,"11.1%","0.0%","11.1%","100%","50%",10,1,11,21,"67.7%","16.7%","0%",466,270,11.5,10.2,"28.9%",760,"27.9%","27.6%",0.49,0.28
"Camille","Support",3,"16.7%","44.4%","61.1%","33%","0%",4,13,14,1.4,"62.1%","27.7%","67%",469,7,-3.3,1.1,"2.5%",267,"11.2%","11.1%",1.94,0.6
"Cassiopeia","ADC",1,"5.6%","38.9%","66.7%","0%","0%",3,4,1,1,"50.0%","21.1%","100%",563,226,1,9.1,"25.2%",331,"14.7%","25.3%",0.36,0.26
"Cassiopeia","Middle",4,"22.2%","38.9%","66.7%","100%","25%",19,2,38,28.5,"83.8%","9.1%","75%",479,258,10.8,8.9,"22.5%",564,"23.3%","20.7%",0.44,0.3
"Corki","ADC",3,"16.7%","0.0%","16.7%","67%","0%",10,2,15,12.5,"62.5%","6.7%","0%",-11,-662,-5,9.7,"29.7%",602,"25.7%","25.8%",0.43,0.29
"Dr. Mundo","Top",1,"5.6%","0.0%","5.6%","100%","100%",4,0,5,9,"47.4%","0.0%","0%",-118,152,3,10.8,"29.3%",1149,"37.3%","24.1%",0.23,0.26
"Ezreal","ADC",7,"38.9%","27.8%","66.7%","57%","14%",32,12,35,5.6,"62.0%","13.5%","0%",159,385,10.1,9.5,"28.5%",839,"31.8%","27.6%",0.46,0.2
"Galio","Middle",2,"11.1%","11.1%","27.8%","100%","100%",9,1,12,21,"70.0%","9.1%","50%",241,129,-4.5,9.5,"27.9%",477,"17.4%","22.0%",0.54,0.15
"Galio","Top",1,"5.6%","11.1%","27.8%","0%","100%",0,8,4,0.5,"50.0%","27.6%","0%",-134,27,9,7,"17.8%",435,"19.1%","15.6%",0.49,0.19
"Gnar","Top",4,"22.2%","22.2%","44.4%","50%","0%",11,10,17,2.8,"60.9%","23.8%","25%",-465,-319,-6.3,9,"27.8%",463,"22.1%","22.7%",0.48,0.29
"Graves","Jungle",1,"5.6%","0.0%","5.6%","0%","100%",2,6,4,1,"37.5%","17.1%","0%",-483,-195,1,5.6,"14.7%",398,"13.1%","15.7%",0.29,0.38
"Jarvan IV","Jungle",4,"22.2%","50.0%","72.2%","50%","25%",5,14,30,2.5,"81.4%","25.9%","0%",-442,-78,-3,6.9,"18.0%",309,"14.2%","18.8%",0.35,0.37
"Jayce","Top",6,"33.3%","27.8%","61.1%","67%","0%",23,18,40,3.5,"62.4%","26.5%","0%",448,168,14,9.6,"28.6%",737,"26.0%","22.8%",0.43,0.23
"Jhin","ADC",1,"5.6%","0.0%","5.6%","100%","100%",7,0,8,15,"57.7%","0.0%","100%",-311,-364,-7,9.8,"28.0%",821,"30.2%","26.1%",0.46,0.25
"K'Sante","Top",4,"22.2%","5.6%","27.8%","50%","75%",15,9,26,4.6,"63.1%","20.9%","0%",-123,-37,0,7.9,"21.4%",484,"18.1%","19.1%",0.32,0.16
"Kai'Sa","ADC",2,"11.1%","5.6%","16.7%","0%","100%",4,5,2,1.2,"54.5%","11.6%","0%",-589,-1234,-30.5,8.2,"29.3%",368,"20.6%","27.2%",0.36,0.25
"Karma","Support",2,"11.1%","0.0%","11.1%","50%","50%",2,2,10,6,"66.7%","10.5%","0%",-65,-40,-2,1.2,"2.9%",218,"10.9%","11.3%",1.97,0.51
"LeBlanc","-",0,"0%","11.1%","11.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",5,"27.8%","27.8%","55.6%","40%","40%",9,16,23,2,"72.7%","28.6%","60%",192,-98,0.2,6.8,"18.6%",252,"13.2%","19.2%",0.65,0.35
"Leona","Support",8,"44.4%","5.6%","50.0%","50%","38%",4,35,63,1.9,"62.0%","26.3%","38%",-7,186,0.5,1.1,"2.5%",150,"6.2%","9.6%",1.81,0.6
"Lissandra","Middle",1,"5.6%","0.0%","5.6%","0%","0%",2,4,6,2,"50.0%","26.7%","0%",586,765,13,8,"18.4%",496,"19.1%","17.6%",0.71,0.12
