CODIGO5;DESCRICAO5;UN5;CODNCM5
'0000002;'0241140535 VELA IGNICAO - BOS TESTES;UN;'85111000
'0000003;'11700334- PARAFUSO CABECOTE TESTE;FR;'73181900
'0000004;'1307204275. / ROLAMENTO DE ROLOS TESTE;KG;'84825010
'0000005;'SERINGA DESC. 20ML;UN;'90183119
'0000006;'CMT SOLUCAO 500ML;FR;'38221990
'0000007;'CALFOZ   200ML;FR;'30049099
'0000008;LUVA DE TOQUE;UN;'19053090
'0000009;LUVA PROCEDIMENTO;UN;'40151200
'0000010;AGULHA;UN;'90183219
'0000011;PARAF. ROSCA SOBERBA DIVERSOS;UN;'73181500
'0000013;'VACINA STARVAC 10 DOSES;FR;'30024290
'0000014;'BARRA ROSCADA 1/2;UN;'73181500
'0000015;'BARRA ROSCADA 1/4;UN;'73181500
'0000016;'BARRA ROSCADA 3/8;UN;'73181500
'0000017;'BARRA ROSCADA 5/16;UN;'73181500
'0000018;'PORCA 1/2;UN;'73181600
'0000019;'PORCA 3/8;UN;'73181500
'0000020;'PORCA 5/16;UN;'73181500
'0000022;'ABRACADEIRA 5/16X1/2;UN;'73269090
'0000023;'ABRACADEIRA 1/2X3/4;UN;'19053090
'0000024;'ABRACADEIRA 3/4X1.1/16;UN;'73269090
'0000025;'ABRACADEIRA MANGOTE 1POL.;UN;'73261900
'0000026;'ABRACADEIRA MANGOTE 2POL.;UN;'73261900
'0000027;LAMINA STARRETT;UN;'82029100
'0000028;'VACINA STARVAC 50 DOSES;FR;'30024290
'0000029;FITA ADESIVA;UN;'59061000
'0000030;'PREGO 17X21;UN;'73170090
'0000031;'PREGO 18X30;PCT;'73170090
'0000033;'VACINA BOTULISMO 20 DOSES;FR;'30024290
'0000034;'VACINA PROVIDEAN RESPIRATORIA 25 DOSES;FR;'30024290
'0000035;'BALDE PLASTICO PRETO 12LTS;UN;'39249000
'0000037;'ARRUELA LISA 1/4;UN;'73182200
'0000038;'ARRUELA LISA 3/8;UN;'73182200
'0000039;'ARRUELA LISA 5/16;UN;'73181500
'0000040;'TERRAMICINA / LA 50ML;UN;'30042099
'0000041;'DECTOMAX 50ML;UN;'30049059
'0000042;TERRA CORTRIL SPRAY;UN;'30042099
'0000043;TERRAMICINA PO;UN;'30042099
'0000044;MATABICHEIRAS FORTE;UN;'38089196
'0000045;'DECTOMAX 200ML;UN;'30049059
'0000046;'CADEADO PADO 20MM;UN;'83011000
'0000047;'CADEADO PADO 25MM;UN;'83011000
'0000048;'CADEADO PADO 30MM;UN;'83011000
'0000049;'CADEADO PADO 35MM;UN;'83011000
'0000050;'CADEADO PADO 40MM;UN;'83011000
'0000051;'CADEADO PADO 45MM;UN;'83011000
'0000052;'CADEADO PADO 50MM;UN;'83011000
'0000053;LIMA CHATA;UN;'82031010
'0000054;ANTICION;UN;'30043939
'0000055;'BIOMECTINA 1 ML;UN;'30049059
'0000056;CANEX;UN;'30049063
'0000057;'COBALZAN 100ML;UN;'30045090
'0000058;'FARINHA DE CALCIO 1KG;UN;'23099090
'0000059;'FERRODEX 50ML;UN;'30049096
'0000060;'IODO 10% 1 L;UN;'30039099
'0000061;'IODO 10% 100ML;UN;'30039099
'0000062;'MARFIX 200ML;UN;'30049099
'0000063;'MONOVIN A 20 ML;UN;'30045090
'0000064;'MONOVIN B1 20ML;UN;'30045090
'0000065;'MONOVIN B12 20ML;UN;'30045090
'0000066;'MONOVIN K 20 ML;UN;'30045090
'0000067;'NATUVERM SUSPENS√O 20ML;UN;'30049063
'0000068;'SARNATYL 100G;UN;'38089993
'0000069;'THUYA AVICOLA  90ML;UN;'30044990
